Collision altitude [m],#Fragments [-],T_0 [days],SC Altitude Offset [m],Target Fraction [-],FoV [deg],Range [m],Incidence Angle [deg],Ablation Time [s],Scan Time [s],Cooldown Time [s],Fluence [J/m^2],Removal Altitude [m],Time Required [days],Fraction removed [-]
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,60.0,5.0,70.0,8500.0,340000.0,481.92233796296296,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,50.0,5.0,70.0,8500.0,340000.0,286.2829861111111,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,45.0,5.0,70.0,8500.0,340000.0,373.7189814814815,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,70.0,5.0,70.0,8500.0,340000.0,724.9999421296296,0.48802563769433976
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,65.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.49387207136979777
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,87.5,5.0,70.0,8500.0,340000.0,341.2252025462963,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,32.5,5.0,70.0,8500.0,340000.0,349.3878472222222,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,90.0,5.0,70.0,8500.0,340000.0,666.5855324074074,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,87.5,5.0,70.0,8500.0,340000.0,594.0933449074074,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,85.0,5.0,70.0,8500.0,340000.0,472.57743055555557,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,35.0,5.0,70.0,8500.0,340000.0,148.64837962962963,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,32.5,5.0,70.0,8500.0,340000.0,456.65911458333335,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,30.0,5.0,70.0,8500.0,340000.0,615.8950810185186,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,87.5,5.0,70.0,8500.0,340000.0,709.7692129629629,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,300000.0,20.0,27.5,5.0,70.0,8500.0,340000.0,720.1157986111111,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,80.0,5.0,70.0,8500.0,340000.0,135.22175925925927,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,70.0,5.0,70.0,8500.0,340000.0,85.45983796296296,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,60.0,5.0,70.0,8500.0,340000.0,76.37442129629629,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,50.0,5.0,70.0,8500.0,340000.0,73.4353587962963,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,295000.0,20.0,40.0,5.0,70.0,8500.0,340000.0,84.03778935185186,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,32.5,5.0,70.0,8500.0,340000.0,534.8275462962963,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,290000.0,20.0,30.0,5.0,70.0,8500.0,340000.0,654.1236689814815,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,85.0,5.0,70.0,8500.0,340000.0,724.9989583333333,0.4994153566324542
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,82.5,5.0,70.0,8500.0,340000.0,708.8344618055555,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,80.0,5.0,70.0,8500.0,340000.0,561.0992476851852,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,70.0,5.0,70.0,8500.0,340000.0,134.28055555555557,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,60.0,5.0,70.0,8500.0,340000.0,90.62326388888889,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,50.0,5.0,70.0,8500.0,340000.0,85.99739583333333,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,40.0,5.0,70.0,8500.0,340000.0,119.89901620370371,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,37.5,5.0,70.0,8500.0,340000.0,203.9110821759259,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,35.0,5.0,70.0,8500.0,340000.0,445.0722222222222,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,285000.0,20.0,32.5,5.0,70.0,8500.0,340000.0,606.5354166666667,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,85.0,5.0,70.0,8500.0,340000.0,724.9993055555556,0.49239963622190464
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,82.5,5.0,70.0,8500.0,340000.0,724.9994791666667,0.4957342687627214
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,37.5,5.0,70.0,8500.0,340000.0,439.2451388888889,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,280000.0,20.0,35.0,5.0,70.0,8500.0,340000.0,553.5986111111112,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,82.5,5.0,70.0,8500.0,340000.0,724.9994791666667,0.4822225109349963
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,80.0,5.0,70.0,8500.0,340000.0,724.9991898148148,0.48863193451994286
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,77.5,5.0,70.0,8500.0,340000.0,724.9999421296296,0.4895413797583474
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,42.5,5.0,70.0,8500.0,340000.0,463.1325810185185,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,40.0,5.0,70.0,8500.0,340000.0,513.7925925925925,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,270000.0,20.0,37.5,5.0,70.0,8500.0,340000.0,622.7502604166667,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,77.5,5.0,70.0,8500.0,340000.0,724.9998263888889,0.4778485124074315
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,75.0,5.0,70.0,8500.0,340000.0,724.9996527777778,0.4815729071932788
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,72.5,5.0,70.0,8500.0,340000.0,724.9998842592593,0.48404140141180546
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,60.0,5.0,70.0,8500.0,340000.0,724.9993634259259,0.49906890130353815
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,55.0,5.0,70.0,8500.0,340000.0,708.332175925926,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,50.0,5.0,70.0,8500.0,340000.0,664.2039351851852,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,47.5,5.0,70.0,8500.0,340000.0,656.7549479166667,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,45.0,5.0,70.0,8500.0,340000.0,661.3903935185185,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,260000.0,20.0,42.5,5.0,70.0,8500.0,340000.0,680.5333622685185,0.5000216534580573
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,75.0,5.0,70.0,8500.0,340000.0,724.9990740740741,0.4687540600233857
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,72.5,5.0,70.0,8500.0,340000.0,724.999537037037,0.47161231648694296
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,65.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.4810099172837902
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,55.0,5.0,70.0,8500.0,340000.0,724.9998842592593,0.4881122515265688
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,52.5,5.0,70.0,8500.0,340000.0,724.9999131944444,0.4897579143389199
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,47.5,5.0,70.0,8500.0,340000.0,724.9998842592593,0.49175003248018706
789000.0,100000.0,5.0,30000.0,0.5,38.43999999999999,250000.0,20.0,45.0,5.0,70.0,8500.0,340000.0,724.999537037037,0.49274609155082066
